percentage_of_data, processors_used, execution_time, avg_centrality,cost
0.05,2,41.96,28.478387,83.92
0.05,4,24.23,28.478387,96.92
0.05,6,19.56,28.478387,117.36
0.05,8,15.88,28.478387,127.04
0.05,10,14.88,28.478387,148.8
0.05,12,15.84,28.478387,190.08
0.05,14,15.22,28.478387,213.08
0.05,16,14.69,28.478387,235.04
0.1,2,180.4,67.953176,360.8
0.1,4,114.51,67.953176,458.04
0.1,6,96.93,67.953176,581.58
0.1,8,88.04,67.953176,704.32
0.1,10,81.03,67.953176,810.3
0.1,12,75.64,67.953176,907.68
0.1,14,85.03,67.953176,1190.42
0.1,16,87.14,67.953176,1394.24
0.2,2,968.11,129.977756,1936.22
0.2,4,560.34,129.977756,2241.36
0.2,6,468.12,129.977756,2808.72
0.2,8,395.46,129.977756,3163.68
0.2,10,361.81,129.977756,3618.1
0.2,12,333.21,129.977756,3998.52
0.2,14,307.14,129.977756,4299.96
0.2,16,298.04,129.977756,4768.64
