percentage_of_data, processors_used, execution_time, avg_centrality
0.05,2,41.96,28.478387
0.05,4,24.23,28.478387
0.05,6,19.56,28.478387
0.05,8,15.88,28.478387
0.05,10,14.88,28.478387
0.05,12,15.84,28.478387
0.05,14,15.22,28.478387
0.05,16,14.69,28.478387
0.10,2,180.40,67.953176
0.10,4,114.51,67.953176
0.10,6,96.93,67.953176
0.10,8,88.04,67.953176 
0.10,10,81.03,67.953176
0.10,12,75.64,67.953176
0.10,14,85.03,67.953176
0.10,16,87.14,67.953176
0.20,2,968.11,129.977756
0.20,4,560.34,129.977756    
0.20,6,468.12,129.977756
0.20,8,395.46,129.977756
0.20,10,361.81,129.977756
0.20,12,333.21,129.977756
0.20,14,307.14,129.977756
0.20,16,298.04,129.977756
